Origen Destí
IP Port MTU Finestra IP Port MTU Finestra
172.16.0.102 48009 1500 14600 172.16.0.105 9642 1500 14480
172.16.0.104 36664 1500 14600 172.16.0.111 1759 1500 14480
172.16.0.104 45737 1500 14600 172.16.0.125 22 1500 14480
172.16.0.105 52193 1500 14600 172.16.0.108 7856 1500 14480
172.16.0.106 45874 1500 14600 172.16.0.112 22 1500 14480
172.16.0.106 52180 1500 14600 172.16.0.108 7856 1500 14480
172.16.0.106 50316 1500 14600 172.16.0.103 21 1500 14480
172.16.0.106 38368 1500 14600 172.16.0.115 7658 1500 14480
172.16.0.109 49608 1500 14600 172.16.0.108 7856 1500 14480
172.16.0.112 42095 1500 14600 172.16.0.102 21 1500 14480
